cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,1,5376,5376,21,0,10.5451,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,5.48,1371.64,0.0
256,2,5376,5376,21,0,10.5727,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,10.93,1369.33,0.0
256,4,5376,5376,21,0,10.6483,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,21.71,1362.14,0.0
256,8,5376,5376,21,0,10.7815,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,42.89,1350.3,0.0
256,16,5376,5376,21,0,11.1459,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,82.98,1315.8,0.0
256,32,5376,5376,21,0,11.8568,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,156.0,1255.04,0.0
256,48,5376,5376,21,0,11.2009,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,247.71,1347.73,0.0
256,1,5376,3072,21,0,7.6753,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,4.3,1077.46,0.0
256,2,5376,3072,21,0,8.4099,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,7.86,984.81,0.0
256,4,5376,3072,21,0,8.4103,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,15.71,987.68,0.0
256,8,5376,3072,21,0,8.5986,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,30.73,971.77,0.0
256,16,5376,3072,21,0,8.7867,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,60.15,962.15,0.0
256,32,5376,3072,29,0,9.3559,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,112.97,924.63,0.0
256,48,5376,3072,21,0,8.8267,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,179.62,1002.34,0.0
256,64,5376,3072,21,0,9.0523,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,233.52,999.08,0.0
256,64,5376,5376,21,0,12.0495,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,307.01,1270.66,0.0
256,128,5376,3072,21,0,9.0243,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,468.5,1089.33,0.0
256,128,5376,5376,21,0,12.0039,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,616.36,1347.15,0.0
256,256,5376,5376,29,0,13.8285,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,1070.07,1293.8,0.0
256,512,5376,5376,37,0,16.0607,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x128E,1842.7,1328.21,0.0
256,1024,5376,5376,52,0,24.0365,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x128E,2462.51,1173.77,0.0
256,2048,5376,5376,44,0,37.4428,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x384E,3161.62,1121.06,0.0
256,4096,5376,5376,44,0,72.4691,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x384E,3267.05,959.04,0.0
256,8192,5376,5376,51,0,124.8579,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x384E,3792.47,997.54,0.0
256,16384,5376,5376,51,0,249.3668,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x384E,3797.78,940.99,0.0
256,256,5376,3072,29,0,10.0939,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,837.71,1129.72,0.0
256,512,5376,3072,37,0,11.7796,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x128E,1435.65,1235.1,0.0
256,2560,5376,3072,51,0,29.5777,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x384E,2858.81,1342.73,0.0
256,3584,5376,3072,50,0,47.8245,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x256E,2475.3,1093.53,0.0
256,5120,5376,3072,45,0,57.4227,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2945.08,1239.44,0.0093
256,14848,5376,3072,51,0,162.8237,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x384E,3012.04,1171.27,0.0
256,16384,5376,3072,51,0,174.2076,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x384E,3106.44,1203.07,0.0
